time,groupName,eventName,duration,eventURL,rsvpLimit,yesRSVPCount,city
2017-05-16T18:30:00-07:00,Maptime SF / Oakland,MapTime SF/OAK--a safe place for mapping!,0s,https://www.meetup.com/Maptime-SF/events/237951814/,20,20,SF
2017-05-16T18:30:00-07:00,Women Who Code East Bay,Programming and Web Dev Study Group,2h15m0s,https://www.meetup.com/Women-Who-Code-East-Bay/events/236812948/,15,15,SF
2017-05-16T19:00:00-07:00,"Big Data, San Francisco","Big Data, San Francisco v 2.0",3h0m0s,https://www.meetup.com/BigDataSanFran/events/238379338/,0,31,SF
2017-05-17T09:00:00-07:00,CrowdFlower MeetUp,Train AI 2017 (paid event with discount),0s,https://www.meetup.com/RichData/events/238992296/,0,4,SF
2017-05-17T18:00:00-07:00,Code for San Francisco - Civic Hack Night,Weekly Civic Hack Night,3h30m0s,https://www.meetup.com/Code-for-San-Francisco-Civic-Hack-Night/events/238967522/,0,4,SF
2017-05-17T18:00:00-07:00,San Francisco Reliability Engineering,SF Reliability Engineering - May Talks,0s,https://www.meetup.com/San-Francisco-Reliability-Engineering/events/238810942/,0,18,SF
2017-05-17T19:00:00-07:00,#MonitorSF,Lightning fast monitoring against lightning fast outages,3h0m0s,https://www.meetup.com/MonitorSF/events/239332676/,35,29,SF
2017-05-17T19:00:00-07:00,Robot Developers Group - Bay Area,BotsNBeer in SF,0s,https://www.meetup.com/SFRobots/events/239053608/,0,5,SF
2017-05-18T17:30:00-07:00,The Developer Network (SF/SV),Demo Night @ Google IO,0s,https://www.meetup.com/developer-network/events/239431919/,0,22,SF
2017-05-18T18:00:00-07:00,Sandstorm SF Bay Area,Cap'n Proto 0.6 Release at Cloudflare (SF),3h0m0s,https://www.meetup.com/Sandstorm-SF-Bay-Area/events/239341254/,0,13,SF
2017-05-18T18:00:00-07:00,Ruby on Rails Tech Talk at Touch of Modern,Ruby on Rails Tech Talk @ Touch of Modern,2h30m0s,https://www.meetup.com/Ruby-on-Rails-Tech-Talk-Touch-of-Modern/events/239312653/,100,40,SF
2017-05-18T18:00:00-07:00,Tech in Motion Events: San Francisco,Containerization & DevOps Tech Talk Part II,3h0m0s,https://www.meetup.com/TechinMotionSF/events/238658513/,0,85,SF
